		g3log created log at: Sun Mar 29 14:43:42 2020
2020/03/29 14:43:42 513219	DEBUG	[1.000000000000s] Insert event, node=3, event_id=0, description: start udp-server application
2020/03/29 14:43:42 513265	DEBUG	[10.000000000000s] Insert event, node=3, event_id=1, description: stop udp-server application
2020/03/29 14:43:42 513344	DEBUG	[1.000000000000s] Insert event, node=5, event_id=2, description: start udp-client application
2020/03/29 14:43:42 513362	DEBUG	[10.000000000000s] Insert event, node=5, event_id=3, description: stop udp-client application
2020/03/29 14:43:42 513394	DEBUG	[1.000000000000s] Exec event, node=3, event_id=0, description: start udp-server application
2020/03/29 14:43:42 513408	DEBUG	[1.000000000000s] Exec event, node=5, event_id=2, description: start udp-client application
2020/03/29 14:43:42 513429	DEBUG	[1.000000000000s] Insert event, node=5, event_id=4, description: Send Begin.
2020/03/29 14:43:42 513443	DEBUG	[1.000000000000s] Exec event, node=5, event_id=4, description: Send Begin.
2020/03/29 14:43:42 513466	DEBUG	[1.000000915527s] Insert event, node=5, event_id=5, description: Packet TransComplete.
2020/03/29 14:43:42 513485	INFO	[1.000000000000s] client=5(10.1.1.2) send one packet to 20.0.1.2.
2020/03/29 14:43:42 513499	DEBUG	[1.000000915527s] Exec event, node=5, event_id=5, description: Packet TransComplete.
2020/03/29 14:43:42 513516	DEBUG	[1.000010915527s] Insert event, node=4, event_id=6, description: Packet Receive.
2020/03/29 14:43:42 513529	DEBUG	[1.000010915527s] Exec event, node=4, event_id=6, description: Packet Receive.
2020/03/29 14:43:42 513545	INFO	[1.000010915527s] Router=4(10.1.1.1) Route a packet, src=10.1.1.2, dst=20.0.1.2.
2020/03/29 14:43:42 513564	DEBUG	[1.000011007079s] Insert event, node=4, event_id=7, description: Packet TransComplete.
2020/03/29 14:43:42 513579	DEBUG	[1.000011007079s] Exec event, node=4, event_id=7, description: Packet TransComplete.
2020/03/29 14:43:42 513595	DEBUG	[1.001011007079s] Insert event, node=1, event_id=8, description: Packet Receive.
2020/03/29 14:43:42 513608	DEBUG	[1.001011007079s] Exec event, node=1, event_id=8, description: Packet Receive.
2020/03/29 14:43:42 513624	INFO	[1.001011007079s] Router=1(10.1.0.1) Route a packet, src=10.1.1.2, dst=20.0.1.2.
2020/03/29 14:43:42 513648	DEBUG	[1.001011098631s] Insert event, node=1, event_id=9, description: Packet TransComplete.
2020/03/29 14:43:42 513770	DEBUG	[1.001011098631s] Exec event, node=1, event_id=9, description: Packet TransComplete.
2020/03/29 14:43:42 513791	DEBUG	[1.001111098631s] Insert event, node=2, event_id=10, description: Packet Receive.
2020/03/29 14:43:42 513806	DEBUG	[1.001111098631s] Exec event, node=2, event_id=10, description: Packet Receive.
2020/03/29 14:43:42 513822	INFO	[1.001111098631s] Router=2(20.0.1.1) Route a packet, src=10.1.1.2, dst=20.0.1.2.
2020/03/29 14:43:42 513841	DEBUG	[1.001112014158s] Insert event, node=2, event_id=11, description: Packet TransComplete.
2020/03/29 14:43:42 513890	DEBUG	[1.001112014158s] Exec event, node=2, event_id=11, description: Packet TransComplete.
2020/03/29 14:43:42 513908	DEBUG	[1.001122014158s] Insert event, node=3, event_id=12, description: Packet Receive.
2020/03/29 14:43:42 513928	DEBUG	[1.001122014158s] Exec event, node=3, event_id=12, description: Packet Receive.
2020/03/29 14:43:42 513947	INFO	[1.001122014158s] server=3(20.0.1.2) receive one packet from 10.1.1.2, reply it.
2020/03/29 14:43:42 513963	DEBUG	[10.000000000000s] Exec event, node=3, event_id=1, description: stop udp-server application
2020/03/29 14:43:42 513977	DEBUG	[10.000000000000s] Exec event, node=5, event_id=3, description: stop udp-client application
2020/03/29 14:43:42 514451	DEBUG	[10.000000000000s] Destroy the simulator
g3log g3FileSink shutdown at: 14:43:42 514782
